time (s)	magX	magY	magZ
3336.568263	5.577915	66.268471	-15.273777
3336.571597	5.227243	65.216454	-14.806213
3336.574934	5.870142	64.573563	-15.741341
3336.578264	5.636360	63.696877	-15.741341
3336.581622	5.577915	62.937084	-16.676468
3336.584974	5.811696	62.294189	-15.507557
3336.588274	5.753251	61.592846	-15.858234
3336.591597	5.285688	61.183723	-16.325794
3336.594932	5.636360	60.657719	-16.910248
3336.598265	5.636360	60.014816	-16.910248
3336.601598	5.987032	59.313473	-15.975124
3336.604927	6.103923	58.729019	-15.449112
3336.608259	5.870142	57.910786	-16.384239
3336.611598	5.636360	57.443222	-16.267349
3336.614933	5.577915	57.910786	-16.676468
3336.618256	5.168797	57.034111	-15.566002
3336.622955	5.227243	56.624989	-16.384239
3336.625896	5.051907	56.215874	-15.916679
3336.629170	5.110353	55.806755	-16.618023
3336.632524	5.168797	55.865204	-16.384239
3336.635782	5.051907	55.397640	-15.566002
3336.638679	5.402579	55.456081	-16.267349
3336.642010	5.110353	54.871628	-16.325794
3336.645355	5.402579	54.813179	-16.033569
3336.648258	5.051907	54.520958	-16.618023
3336.651588	4.993462	53.994946	-16.793358
3336.654925	5.344133	53.994946	-16.208904
3336.658252	4.876571	53.235161	-16.618023
3336.661591	5.227243	53.585831	-16.618023
3336.664917	5.636360	53.468941	-15.975124
3336.668274	4.935017	53.819614	-16.033569
3336.671587	4.935017	54.228725	-16.150459
3336.674920	5.461024	53.702721	-16.384239
3336.678251	5.519469	52.884487	-16.092014
3336.681583	5.051907	53.527382	-16.968693
3336.684918	4.759680	53.059822	-16.150459
3336.688254	5.285688	52.826038	-16.851803
3336.691584	5.110353	52.650707	-16.618023
3336.694920	5.461024	53.059822	-17.377811
3336.698257	5.402579	52.475368	-17.319366
3336.701584	5.344133	53.059822	-17.553146
3336.704915	5.519469	53.352051	-17.611591
3336.708255	5.577915	53.352051	-17.962265
3336.711624	5.461024	53.293602	-16.910248
3336.714921	5.402579	53.585831	-17.319366
3336.718257	4.935017	53.527382	-16.325794
3336.722451	5.051907	53.468941	-16.734913
3336.725846	4.935017	53.644272	-17.611591
3336.729160	5.811696	53.878056	-16.968693
3336.732438	6.103923	53.936504	-17.144032
3336.735332	5.811696	53.936504	-17.260921
3336.738665	5.577915	54.520958	-17.377811
3336.742007	5.694805	54.988518	-16.442688
3336.745338	6.279259	54.930077	-17.144032
3336.748243	6.162369	55.397640	-16.501133
3336.751577	6.103923	55.865204	-16.851803
3336.754930	6.513041	55.923645	-16.676468
3336.758243	6.746821	56.508099	-16.734913
3336.761580	5.636360	56.215874	-17.144032
3336.764906	6.629930	56.858768	-16.968693
3336.768240	6.162369	57.326332	-15.975124
3336.771580	6.162369	57.677006	-16.442688
3336.774912	5.987032	58.261459	-16.851803
3336.778244	6.279259	58.378349	-17.202477
3336.781571	6.279259	58.904358	-16.267349
3336.784910	6.513041	59.547256	-16.442688
3336.788240	6.688376	60.365490	-16.384239
3336.791578	6.279259	61.066833	-16.150459
3336.794912	6.454595	61.300617	-16.442688
3336.798247	6.863712	62.294189	-15.741341
3336.801578	7.097494	63.053974	-16.208904
3336.804904	6.863712	63.287758	-15.741341
3336.808235	6.922157	64.456673	-15.916679
3336.811578	6.980604	64.748894	-16.267349
3336.814906	7.331276	65.508682	-16.384239
3336.819188	6.805267	67.203598	-14.689323
3336.822491	7.915730	67.904938	-14.630878
