time (s)	det(V)
5219.312912	-1.618983	
5219.314390	-1.618996	
5219.316127	-1.618991	
5219.317637	-1.619000	
5219.319372	-1.618996	
5219.320885	-1.618996	
5219.322602	-1.619016	
5219.324129	-1.618927	
5219.325828	-1.618915	
5219.327389	-1.618955	
5219.329070	-1.618943	
5219.330637	-1.619040	
5219.332321	-1.618847	
5219.333894	-1.618963	
5219.335541	-1.619012	
5219.337118	-1.619076	
5219.338758	-1.618846	
5219.340369	-1.619124	
5219.341889	-1.619004	
5219.343508	-1.619124	
5219.344990	-1.619028	
5219.346621	-1.618971	
5219.348100	-1.619044	
5219.349737	-1.619024	
5219.351213	-1.618991	
5219.352826	-1.619044	
5219.354324	-1.619064	
5219.355889	-1.619060	
5219.357438	-1.619020	
5219.359058	-1.618834	
5219.360636	-1.618996	
5219.362207	-1.618951	
5219.363801	-1.619068	
5219.365344	-1.619032	
5219.366975	-1.619048	
5219.368483	-1.618931	
5219.370189	-1.619004	
5219.371786	-1.618947	
5219.373437	-1.618983	
5219.375003	-1.619024	
5219.376702	-1.619036	
5219.378243	-1.618895	
5219.379943	-1.618959	
5219.381485	-1.618971	
5219.383214	-1.619092	
5219.384733	-1.618955	
5219.386463	-1.619068	
5219.387951	-1.618987	
5219.389723	-1.619004	
5219.391206	-1.618947	
5219.392977	-1.618863	
5219.394457	-1.619040	
5219.396245	-1.619068	
5219.397725	-1.618927	
5219.399479	-1.619016	
5219.400969	-1.618991	
5219.402701	-1.618955	
5219.404219	-1.618955	
5219.405961	-1.618822	
5219.407489	-1.619020	
5219.409192	-1.618975	
5219.410727	-1.618975	
5219.412419	-1.618895	
5219.413978	-1.618983	
5219.415640	-1.619016	
5219.417211	-1.619052	
5219.418858	-1.618891	
5219.420447	-1.618931	
5219.422077	-1.618927	
5219.423686	-1.619032	
5219.425321	-1.618903	
5219.426939	-1.619040	
5219.428534	-1.618883	
5219.430208	-1.619036	
5219.431788	-1.618907	
5219.433464	-1.618991	
5219.435053	-1.618867	
5219.436708	-1.619044	
5219.438265	-1.618778	
5219.439960	-1.618987	
5219.441504	-1.618927	
5219.443221	-1.618963	
5219.444718	-1.618907	
5219.446461	-1.618984	
5219.447944	-1.618967	
5219.449479	-1.619032	
5219.450978	-1.618979	
5219.452556	-1.618996	
5219.454092	-1.618991	
5219.455606	-1.618963	
5219.457250	-1.619024	
5219.458739	-1.618943	
5219.460361	-1.618927	
5219.461874	-1.618254	
5219.463525	-1.575691	
5219.465002	-1.519138	
5219.466732	-1.478625	
5219.468205	-1.426663	
5219.469917	-1.379625	
5219.471390	-1.348723	
5219.473093	-1.306462	
5219.474579	-1.248354	
5219.476292	-1.221134	
5219.477783	-1.185661	
5219.479548	-1.141744	
5219.481024	-1.104756	
5219.482783	-1.090375	
5219.484284	-1.050874	
5219.486018	-1.019992	
5219.487539	-0.992519	
5219.489251	-0.971475	
5219.490792	-0.908702	
5219.492500	-0.895739	
5219.494038	-0.869696	
5219.495703	-0.845618	
5219.497263	-0.811777	
5219.498926	-0.814830	
5219.500507	-0.787961	
5219.502159	-0.762708	
5219.503773	-0.750115	
5219.505395	-0.735299	
5219.507012	-0.697590	
5219.508627	-0.678117	
5219.510257	-0.662439	
5219.511861	-0.648110	
5219.513513	-0.621495	
5219.515106	-0.624472	
5219.516794	-0.613970	
5219.518353	-0.595573	
5219.520044	-0.580547	
5219.521590	-0.576490	
5219.523298	-0.549585	
5219.524836	-0.524872	
5219.526552	-0.514088	
5219.528098	-0.509415	
5219.529823	-0.488520	
5219.531309	-0.486667	
5219.533071	-0.489708	
5219.534555	-0.471802	
5219.536322	-0.454537	
5219.537807	-0.447890	
5219.539571	-0.440112	
5219.541052	-0.410423	
5219.542801	-0.411635	
5219.544295	-0.399704	
5219.546065	-0.391305	
5219.547594	-0.373862	
5219.549081	-0.385842	
5219.550667	-0.368565	
5219.552162	-0.360734	
5219.553813	-0.353728	
5219.555307	-0.351517	
5219.556930	-0.317131	
5219.558458	-0.312869	
5219.560081	-0.303209	
5219.561554	-0.294436	
5219.563261	-0.286117	
5219.564749	-0.277335	
5219.566443	-0.284216	
5219.567923	-0.265625	
5219.569631	-0.252130	
5219.571106	-0.251425	
5219.572786	-0.248609	
5219.574285	-0.218474	
5219.575933	-0.218067	
5219.577474	-0.207911	
5219.579184	-0.201200	
5219.580731	-0.187524	
5219.582431	-0.200527	
5219.583978	-0.187472	
5219.585657	-0.177135	
5219.587232	-0.176257	
5219.588896	-0.174488	
5219.590481	-0.142056	
5219.592132	-0.142584	
5219.593744	-0.141968	
5219.595383	-0.131869	
5219.596994	-0.119739	
5219.598619	-0.132888	
5219.600236	-0.124239	
5219.601828	-0.118200	
5219.603504	-0.110728	
5219.605071	-0.116013	
5219.606741	-0.093467	
5219.608297	-0.083045	
5219.609993	-0.087340	
5219.611548	-0.079110	
5219.613240	-0.070404	
5219.614791	-0.073466	
5219.616511	-0.082824	
5219.618026	-0.075222	
5219.619792	-0.071641	
5219.621281	-0.075416	
5219.623051	-0.066308	
5219.624535	-0.050835	
5219.626302	-0.052611	
5219.627797	-0.049771	
5219.629590	-0.045010	
5219.631067	-0.040551	
5219.632831	-0.059585	
5219.634321	-0.051967	
5219.636062	-0.048913	
5219.637572	-0.050529	
5219.639277	-0.054593	
5219.640807	-0.036438	
5219.642516	-0.038589	
5219.644058	-0.040035	
5219.645758	-0.034359	
5219.647311	-0.025686	
5219.648992	-0.052342	
5219.650561	-0.047133	
5219.652228	-0.040414	
5219.653806	-0.045622	
5219.655448	-0.055637	
5219.657067	-0.027467	
5219.658567	-0.029690	
5219.660196	-0.036498	
5219.661676	-0.032796	
5219.663307	-0.027696	
5219.664780	-0.037880	
5219.666418	-0.051842	
5219.667902	-0.035870	
5219.669518	-0.040796	
5219.671015	-0.042706	
5219.672585	-0.050098	
5219.674125	-0.029759	
5219.675736	-0.031282	
5219.677303	-0.033392	
5219.678898	-0.033384	
5219.680489	-0.021380	
5219.682066	-0.043806	
5219.683687	-0.044527	
5219.685216	-0.035535	
5219.686889	-0.037940	
5219.688488	-0.048789	
5219.690154	-0.027132	
5219.691715	-0.022963	
5219.693402	-0.031467	
5219.694973	-0.025722	
5219.696670	-0.018995	
5219.698217	-0.032309	
5219.699900	-0.034009	
5219.701452	-0.032514	
5219.703167	-0.030669	
5219.704666	-0.032643	
5219.706414	-0.030766	
5219.707892	-0.010286	
5219.709657	-0.021271	
5219.711135	-0.016244	
5219.712880	-0.014677	
5219.714357	-0.006040	
5219.716100	-0.027350	
5219.717607	-0.015265	
5219.719359	-0.018540	
5219.720870	-0.026190	
5219.722588	-0.026008	
5219.724112	0.000115	
5219.725832	-0.007466	
5219.727365	-0.003877	
5219.729046	0.000232	
5219.730606	0.012563	
5219.732267	-0.017335	
5219.733845	-0.008965	
5219.735501	-0.007571	
5219.737096	-0.008090	
5219.738745	-0.013565	
5219.740349	0.006375	
5219.741963	0.004917	
5219.743580	0.002774	
5219.745178	0.012857	
5219.746838	0.017840	
5219.748444	0.004027	
