crossing time (s)	slope (V/s)	crossing number
5794.651631	-50.078330	3992
5795.670335	-48.564182	3993
5796.722122	-50.930164	3994
5797.742233	-52.837151	3995
5798.809952	-49.137629	3996
5799.844371	-48.421560	3997
5800.899579	-47.861467	3998
5801.935003	-47.605935	3999
5802.991254	-47.137262	4000
5804.017300	-45.882308	4001
5805.073241	-46.581550	4002
5806.097776	-46.922798	4003
5807.152000	-45.718926	4004
5808.179163	-44.736593	4005
5809.238668	-45.513149	4006
5810.270779	-46.007499	4007
5811.333894	-42.800678	4008
5812.357025	-43.032137	4009
5813.413728	-43.386748	4010
5814.428150	-42.757447	4011
5815.505968	-41.518278	4012
5816.520828	-41.723374	4013
5817.601872	-41.698231	4014
5818.593154	-41.116825	4015
5819.679342	-40.175308	4016
5820.692228	-39.340936	4017
5821.758102	-39.562255	4018
5822.787759	-39.583590	4019
5823.834999	-38.041714	4020
5824.870190	-38.756967	4021
5825.931130	-36.945905	4022
5826.959788	-37.340799	4023
5828.017992	-36.819252	4024
5829.035848	-36.419280	4025
5830.101813	-36.347572	4026
5831.121352	-36.404338	4027
5832.192102	-35.124390	4028
5833.202938	-34.286530	4029
5834.280664	-35.095586	4030
5835.291232	-33.733369	4031
5836.367426	-34.051541	4032
5837.372636	-33.643042	4033
5838.457960	-32.693072	4034
5839.459100	-32.169744	4035
5840.545469	-32.468546	4036
5841.544995	-33.201753	4037
5842.626671	-31.318136	4038
5843.631413	-31.860859	4039
5844.715178	-30.614626	4040
5845.720846	-30.748463	4041
5846.794217	-30.181211	4042
5847.812823	-30.516160	4043
5848.879758	-29.819721	4044
5849.895652	-30.644850	4045
5850.958758	-28.700945	4046
5851.985011	-29.137874	4047
5853.055739	-28.508733	4048
5854.072371	-29.126474	4049
5855.130172	-27.554405	4050
5856.157394	-28.841378	4051
5857.217853	-26.345454	4052
5858.239344	-27.043584	4053
5859.307007	-26.833950	4054
5860.323508	-26.577542	4055
5861.392730	-25.909646	4056
5862.403749	-25.958286	4057
5863.482434	-26.150532	4058
5864.485091	-25.315872	4059
5865.570116	-25.925457	4060
5866.565081	-25.039672	4061
5867.674256	-24.706286	4062
5868.646969	-23.920827	4063
5869.746023	-23.738052	4064
5870.735539	-23.626368	4065
5871.826248	-23.440935	4066
5872.825392	-23.442725	4067
5873.914919	-22.942948	4068
5874.916019	-22.179022	4069
5876.001000	-22.598222	4070
5876.994680	-22.191303	4071
5878.082110	-21.582644	4072
5879.088482	-21.594769	4073
5880.163608	-21.011845	4074
5881.170879	-21.568938	4075
5882.254288	-20.545937	4076
5883.258675	-21.354995	4077
5884.351297	-20.921300	4078
5885.350765	-19.341646	4079
5886.430681	-20.206482	4080
5887.433084	-20.292245	4081
5888.514862	-20.267901	4082
5889.514158	-18.832756	4083
5890.605039	-19.952172	4084
5891.593129	-18.729370	4085
5892.702983	-17.847172	4086
5893.674808	-17.964691	4087
5894.775464	-17.866478	4088
5895.761967	-17.961669	4089
5896.860083	-17.322380	4090
5897.855221	-18.653774	4091
5898.941771	-18.587215	4092
5899.941470	-17.021792	4093
