time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
7146.014332	269.578552	1.129615	-0.021530	117
7148.099586	269.423950	1.120209	-0.022305	119
7150.184930	269.331604	1.108782	-0.022537	121
7152.270484	269.200348	1.098714	-0.022995	123
7154.356155	269.193665	1.089298	-0.023264	125
7156.442838	269.248383	1.077627	-0.023758	127
7158.529146	269.401337	1.065253	-0.024304	129
7160.616869	268.959503	1.054896	-0.100000	131
7162.703522	89.812759	-1.043840	0.025335	133
7164.791359	269.976471	1.035010	-0.025877	135
7166.878008	90.078621	-1.025502	0.026260	137
7168.964774	90.108856	-1.017365	0.027036	139
7171.050593	90.050644	-1.009415	0.027368	141
7173.136412	88.765831	-0.904543	0.100000	143
7175.222482	269.917694	0.992096	-0.028613	145
7177.307420	89.841934	-0.983771	0.028920	147
7179.393025	88.568161	-0.972879	0.100000	149
7181.478031	89.709915	-0.964336	0.029557	151
7183.563093	89.676605	-0.958032	0.030187	153
7185.648148	88.157745	-0.949165	0.100000	155
7187.733050	89.648781	-0.943982	0.030601	157
7189.817661	89.676796	-0.935552	0.030829	159
7191.901995	89.637360	-0.926934	0.031148	161
7193.985601	89.608467	-0.919675	0.031574	163
7196.068739	89.540909	-0.909682	0.032036	165
7198.151925	89.449234	-0.904192	0.032690	167
7200.234847	89.252029	-0.895514	0.032902	169
7202.317517	89.177437	-0.887572	0.033584	171
7204.400261	89.007904	-0.881660	0.033906	173
7206.483874	88.863991	-0.875743	0.034549	175
7208.567714	88.796593	-0.868509	0.034757	177
7210.651941	88.771423	-0.861382	0.035116	179
7212.736813	88.745338	-0.853510	0.035515	181
7214.821981	88.742760	-0.845924	0.035603	183
7216.907129	88.714249	-0.837687	0.035721	185
7218.991845	88.627663	-0.829919	0.036122	187
7221.076595	88.604340	-0.823133	0.036645	189
7223.161765	88.431633	-0.815770	0.037146	191
7225.246919	88.324471	-0.808443	0.037743	193
7227.331822	88.273712	-0.800429	0.037850	195
7229.417464	88.217834	-0.792454	0.038362	197
7231.503331	88.242912	-0.785228	0.038764	199
7233.590397	88.337341	-0.777196	0.039293	201
7235.677370	88.529045	-0.769763	0.039607	203
7237.764710	88.695343	-0.761055	0.039914	205
7239.852329	88.948235	-0.752900	0.040327	207
7241.939274	89.081940	-0.746277	0.040889	209
7244.026467	89.189575	-0.739418	0.041382	211
7246.112401	89.251411	-0.732898	0.041908	213
