time (s)	magX	magY	magZ
2495.029290	11.663355	-157.232040	-25.755697
2495.032616	11.546463	-158.400940	-26.515486
2495.035953	11.546463	-158.985382	-27.333721
2495.039281	11.312683	-160.621857	-27.684395
2495.042620	11.488018	-161.440094	-28.268847
2495.045973	11.838690	-162.375229	-28.444183
2495.049280	11.721800	-163.018112	-28.911745
2495.052622	11.955582	-164.187027	-30.840443
2495.055953	11.780245	-165.122147	-31.191114
2495.060218	12.130917	-167.167740	-32.126244
2495.063469	11.429573	-168.570419	-33.412041
2495.066800	11.780245	-169.914673	-33.528931
2495.070152	11.604908	-170.616013	-35.048508
2495.073037	12.014027	-172.194046	-36.451195
2495.076390	11.780245	-173.362946	-36.860313
2495.079734	11.546463	-174.064285	-37.736996
2495.083059	11.780245	-175.291641	-37.853886
2495.085943	12.306253	-176.928116	-39.256573
2495.089297	12.014027	-178.564590	-41.068378
2495.092616	12.364698	-180.434830	-41.243713
2495.095951	11.955582	-182.012863	-42.938629
2495.099282	12.481590	-182.947983	-44.516655
2495.102622	12.364698	-184.818237	-45.510227
2495.105941	12.773817	-186.746933	-46.912914
2495.109276	12.773817	-188.617187	-48.666275
2495.112610	12.656927	-189.669205	-49.835182
2495.115947	13.592052	-192.474579	-51.296318
2495.119304	13.650497	-194.169495	-53.634129
2495.122611	14.234951	-195.922852	-56.030388
2495.125941	14.351841	-197.793106	-57.959087
2495.129272	14.936295	-199.371124	-59.946228
2495.132610	15.111631	-202.351837	-61.874924
2495.135943	14.819405	-203.754517	-64.271187
2495.139272	15.286966	-206.735260	-65.615425
2495.142610	15.637638	-208.663940	-68.479248
2495.145945	15.637638	-211.177094	-70.174164
2495.149271	15.754530	-212.579773	-72.862656
2495.152606	16.981884	-215.618942	-75.609581
2495.155940	16.981884	-218.365860	-78.824081
2495.160191	17.098774	-223.216843	-83.908821
2495.163478	18.033899	-225.379303	-86.889542
2495.166793	18.092344	-228.360031	-90.104034
2495.170121	18.443016	-230.697845	-93.435417
2495.173481	18.326126	-233.444763	-96.065460
2495.176371	19.027470	-235.899475	-99.513733
2495.179741	19.495033	-238.938644	-102.786674
2495.183046	19.962595	-241.276459	-106.293396
2495.186391	19.845705	-244.432495	-109.624786
2495.189315	19.728813	-246.536514	-114.534187
2495.192603	20.079485	-250.744598	-117.690239
2495.195939	19.904150	-252.088837	-122.891876
2495.199310	20.079485	-256.004669	-126.398598
2495.202607	20.663939	-258.868500	-130.372879
2495.205961	20.313267	-262.316772	-134.931610
2495.209270	20.021040	-265.063721	-139.490356
2495.212600	20.839275	-268.453522	-143.347748
2495.215936	21.482174	-271.375793	-149.192291
2495.219275	21.073057	-274.005829	-153.517242
2495.222597	21.599066	-277.103455	-158.777313
2495.225934	21.715958	-280.551727	-164.504974
2495.229272	21.891293	-283.883118	-169.589722
2495.232604	22.300409	-286.630035	-175.434235
2495.235933	22.241964	-289.844543	-181.512573
2495.239266	22.767973	-293.877258	-187.707764
2495.242595	23.235535	-296.682648	-193.669189
2495.245933	23.177090	-300.656921	-201.091766
2495.249279	23.410872	-302.760956	-207.696075
2495.252599	23.878433	-306.793701	-215.118622
2495.256845	24.345997	-314.040924	-229.905334
2495.260107	25.164232	-317.781433	-238.613678
2495.263445	25.398012	-319.417877	-246.679138
2495.266777	26.683809	-323.216858	-255.270599
2495.270130	26.625364	-327.308014	-264.504974
2495.273032	27.502045	-329.002930	-273.505554
2495.276383	28.028053	-333.152527	-282.681458
2495.279714	28.495619	-334.379883	-291.974274
2495.283050	28.729401	-338.354187	-301.559326
2495.285977	30.132088	-341.393341	-312.079498
2495.289266	30.716541	-344.607819	-322.307434
2495.292615	31.417885	-346.302734	-333.587372
2495.295930	32.469902	-347.997681	-345.334900
2495.299262	32.645237	-351.445923	-356.556396
2495.302595	32.879017	-354.192871	-368.888367
2495.305927	33.814144	-354.251312	-380.285217
2495.309256	34.690823	-357.173584	-391.682068
2495.312591	34.983051	-358.225616	-405.299835
2495.315929	35.450615	-360.504974	-417.631805
2495.319258	35.859730	-361.556976	-429.554657
2495.322590	36.619518	-362.199890	-442.646423
2495.325925	36.853302	-363.485657	-456.322632
2495.329280	36.970192	-363.894806	-468.888397
2495.332591	37.496204	-364.187012	-482.506134
2495.335921	37.145527	-364.537689	-496.123901
2495.339253	37.496204	-365.355927	-510.618378
2495.342591	38.022209	-364.362366	-524.820557
2495.345925	38.022209	-363.485657	-539.782593
2495.349251	37.963764	-362.842773	-553.400330
2495.353546	37.963764	-357.816467	-582.330750
2495.356777	37.905319	-356.179993	-596.825256
2495.360104	37.905319	-354.718872	-611.436584
2495.363436	38.139103	-351.212158	-624.820557
2495.366345	37.613094	-345.776733	-639.198120
2495.369682	38.080658	-342.386902	-653.341919
2495.373029	38.139103	-338.354187	-667.544128
2495.376364	38.080658	-333.912323	-681.980103
2495.379250	38.080658	-328.418457	-696.416138
2495.382585	38.139103	-322.515503	-709.566345
2495.385923	39.074226	-315.852722	-724.236084
2495.389321	38.665108	-309.774414	-736.743408
2495.392595	38.606663	-302.234955	-749.952026
2495.395920	38.898891	-293.935699	-762.400879
2495.399250	39.191116	-286.220947	-774.499084
2495.402586	40.067799	-277.512573	-784.727051
2495.405914	39.717125	-269.096436	-797.994141
2495.409250	39.424900	-257.524231	-806.234924
2495.412581	40.067799	-247.939224	-819.268250
2495.415949	40.067799	-236.600830	-827.099915
2495.419242	40.243134	-225.262421	-835.808228
2495.422583	40.301579	-212.755112	-845.568665
2495.425920	40.301579	-200.773804	-853.166504
2495.429253	40.535362	-188.617187	-860.589172
2495.432579	40.067799	-174.473404	-865.907593
2495.435914	39.658680	-160.797195	-871.226135
2495.439246	39.717125	-146.945648	-875.317322
2495.442578	40.126244	-133.210999	-881.278748
2495.445931	39.950909	-118.482758	-883.558105
2495.450182	38.489773	-89.260086	-889.578003
2495.453502	37.963764	-74.239624	-887.941467
2495.456787	37.028637	-59.336060	-888.467529
2495.460089	35.918175	-43.614262	-888.526001
2495.463000	34.983051	-28.652250	-886.246582
2495.466344	34.457043	-14.099358	-883.675049
2495.469674	32.703682	1.856224	-882.038513
2495.473005	31.768559	17.110460	-878.356506
2495.475905	30.833431	31.838692	-873.447083
2495.479246	29.956753	46.683807	-869.063721
2495.482574	28.144943	61.412041	-863.043823
2495.485908	26.683809	75.731155	-856.322632
2495.489242	24.988895	90.459381	-851.296326
2495.492594	23.878433	104.778496	-843.639954
2495.495917	23.177090	118.630043	-834.464050
2495.499243	21.657511	131.955582	-825.405029
2495.502576	20.547049	145.456451	-816.287537
2495.505903	19.436586	158.372879	-806.936279
2495.509244	18.092344	170.587952	-798.461731
2495.512568	17.624783	183.445938	-785.895935
2495.515907	16.572763	195.719452	-778.239624
2495.519266	16.222092	207.992981	-765.557007
2495.522573	14.351841	218.863815	-754.978333
2495.525908	14.118061	229.267090	-742.704834
2495.529238	12.890709	239.728806	-729.846863
2495.532570	12.423143	249.664520	-717.631775
2495.535900	11.838690	259.834015	-705.767395
2495.539233	11.020456	268.425476	-693.143127
2495.542568	10.319111	276.549377	-680.577393
2495.546824	9.500877	292.271179	-653.809448
2495.550174	9.734657	300.336639	-639.665649
2495.553523	8.682642	306.707184	-626.106323
2495.556752	8.098188	312.610168	-613.131470
2495.559662	7.338398	318.104034	-599.864380
2495.563028	6.870836	323.656342	-586.480408
2495.566330	6.870836	328.507294	-572.979553
2495.569654	6.227936	332.130920	-559.653992
2495.572564	5.585038	336.455872	-546.094666
2495.575903	5.526593	340.254822	-533.061340
2495.579232	5.000585	344.053772	-519.560486
2495.582564	4.942139	346.157806	-507.111664
2495.585898	4.065458	348.787842	-495.013428
2495.589225	3.422560	350.482758	-483.090607
2495.592567	3.364114	351.885437	-470.641724
2495.595896	2.954997	351.943909	-458.485077
2495.599252	2.487434	353.463470	-446.971375
2495.602600	2.136762	353.755676	-435.691406
2495.605909	0.850965	354.983032	-424.294586
2495.609227	0.792519	353.054352	-412.430145
2495.612563	0.091175	354.340149	-401.500885
2495.615894	-0.259497	352.879028	-391.156067
2495.619226	-1.428404	352.879028	-381.395691
2495.622567	-1.837522	350.132080	-370.057281
2495.625888	-2.421976	349.372284	-360.296906
2495.629223	-2.597311	348.612488	-350.945648
2495.632556	-4.292227	346.859131	-341.769714
2495.635891	-3.649328	344.872009	-332.593811
2495.640616	-5.168907	340.722382	-314.534210
2495.643489	-5.694915	338.969025	-306.234955
2495.646814	-6.045588	335.228516	-297.526611
2495.650184	-6.337814	334.877838	-289.227356
2495.653019	-6.337814	331.020447	-281.395691
2495.656315	-6.630041	327.630615	-273.797791
2495.659645	-6.396259	325.994171	-265.673889
2495.662997	-7.331385	322.662750	-258.134430
2495.666307	-7.097604	320.091187	-250.711853
2495.669225	-6.922268	316.058441	-243.990662
2495.672557	-6.571595	313.545288	-237.912323
2495.675887	-6.630041	310.389252	-230.314423
2495.679224	-6.571595	308.109894	-223.125641
2495.682557	-6.337814	304.661621	-216.638214
2495.685911	-7.039158	301.154877	-209.975433
2495.689218	-7.097604	298.232605	-203.897125
2495.692557	-6.980713	294.609009	-197.994141
2495.695882	-6.863822	291.277618	-191.506714
2495.699222	-6.279369	287.829315	-185.954407
2495.702552	-6.220923	284.790192	-180.811218
