crossing time (s)	slope (V/s)	crossing number
3881.380674	60.097786	1955
3882.419076	59.701795	1956
3883.450334	59.688161	1957
3884.492940	58.385492	1958
3885.534862	57.468922	1959
3886.587118	57.607901	1960
3887.652248	55.966820	1961
3888.684690	54.708999	1962
3889.727980	55.329711	1963
3890.769603	54.195799	1964
3891.809869	52.703672	1965
3892.841449	52.731375	1966
3893.918618	51.685730	1967
3894.930042	50.725236	1968
3895.993500	49.953424	1969
3897.038523	49.920429	1970
3898.084146	48.094943	1971
3899.130498	47.658840	1972
3900.174842	47.160160	1973
3901.217632	45.893335	1974
3902.268524	46.241368	1975
3903.283613	44.925635	1976
3904.342343	45.033780	1977
3905.388013	44.555691	1978
3906.430131	44.373018	1979
3907.475058	42.868779	1980
3908.519130	42.215733	1981
3909.559842	42.475668	1982
3910.617415	40.839093	1983
3911.641348	39.949805	1984
3912.717796	40.213282	1985
3913.736906	38.270406	1986
3914.789509	39.324258	1987
3915.828086	37.910202	1988
3916.887309	37.170139	1989
3917.918198	37.038585	1990
3918.980155	36.024993	1991
3919.998073	35.139645	1992
3921.074413	35.664648	1993
3922.088939	34.376912	1994
3923.150170	33.911156	1995
3924.187592	32.770098	1996
3925.225617	33.184974	1997
3926.272881	32.465579	1998
3927.321768	32.570550	1999
3928.366642	32.129299	2000
3929.411911	32.406030	2001
3930.455863	30.960601	2002
3931.510709	30.703920	2003
3932.541545	29.236229	2004
3933.605074	29.855048	2005
3934.620228	29.232150	2006
3935.691765	28.774170	2007
3936.712571	27.205708	2008
3937.760525	29.152463	2009
3938.805117	26.861677	2010
3939.855582	26.843769	2011
3940.898904	27.357651	2012
3941.943992	25.788891	2013
3942.966029	24.665964	2014
3944.033559	25.397021	2015
3945.069722	25.248304	2016
3946.132291	25.002344	2017
3947.141807	24.495310	2018
3948.228890	23.317850	2019
3949.237370	23.656553	2020
3950.307859	23.238853	2021
3951.322290	23.056379	2022
3952.393243	22.428011	2023
3953.417319	22.351656	2024
3954.486894	21.403687	2025
3955.506639	21.159090	2026
3956.576672	20.844537	2027
3957.600829	20.216336	2028
3958.670860	21.129364	2029
3959.690007	19.172943	2030
3960.745915	20.832505	2031
3961.774886	19.140888	2032
3962.829822	19.808752	2033
3963.880385	18.525936	2034
3964.926936	18.212438	2035
3965.954018	18.219961	2036
3967.007284	18.083824	2037
3968.034411	17.482996	2038
3969.115238	17.723404	2039
3970.119064	17.343195	2040
3971.197514	17.219484	2041
3972.210839	16.758654	2042
3973.290299	16.707737	2043
3974.294478	16.462503	2044
3975.387615	16.023840	2045
3976.384242	15.439102	2046
3977.462705	15.211899	2047
3978.473598	14.830266	2048
3979.554705	14.796331	2049
3980.569389	14.516156	2050
3981.647485	14.358018	2051
3982.647899	13.983089	2052
3983.726083	14.148595	2053
3984.741397	13.450300	2054
3985.818370	13.956831	2055
3986.841396	12.935524	2056
3987.892535	13.019691	2057
3988.928616	12.872389	2058
3989.986115	12.549995	2059
3991.021432	12.025059	2060
3992.059130	12.254505	2061
3993.097511	11.790323	2062
